455413,4389,435.45,4,zdqskqklkdtgbzyidbmzjejiqjexbrpccbekkr
455417,242,559.99,10,gsmlhtxvhjvgfnalmebzbndjqdacwvslxyxgw
455418,1842,350.83,1,beukehuwczdrpnuqkohwkfftpkxfmul
455420,3680,306.66,7,msqcyfquqfbmsmzgtmae
455422,53,179.24,1,yuqjipzqdzvodakrihihslqp
455425,1394,479.28,8,lqhghzbvtxpcgckfhougafhweqknnmek
455426,2014,83.56,4,zjsxumgrxkjyffropvxhvmakfrfy
455429,3132,483.11,7,vkbdqezlypeyjhuutaqwlngkevzajlcragpgmk
455430,3683,442.31,8,mzgdoalrajmnwiliuhekvwxwzheuhqcrqshnxmpeyiimyywpi
455431,4207,314.61,4,qwcsgyltvsmqaoatipfqrdwxprrklshkquwa
455433,3426,466.6,4,knisrketqqgptcksmtptkzglvybnkh
455434,682,193.5,5,qgzorhlsykxtzvlnsfzguhbqbealztylvitlwlwwdtpv
455435,2677,376.99,4,mtnneuxkjmvieesrdhdx
455437,2710,30.38,3,qagackteealfdsyrodcqgqrngrvpjnmjirydrgy
455438,3967,197.0,1,rwpyywfygkfxhbfjjtcxihcguiawrwfyyboyvxpduihq
455439,1513,314.18,8,fcixbuyemfliobymdewos
455440,2883,179.93,5,tmmhjtkhkbclcerqsrgpnqvoii
455442,3194,156.27,4,alpzsombytsxgebhfzjxrp
455443,831,458.3,9,yqlemelbuwzqvcqpdbmdhudz
455446,2017,300.21,10,posjtepfwerelblmcftjjmz
455447,4697,44.77,8,kasbvpivkdliyghborfldnrrewbgrukph
455448,1542,116.74,5,xdxzqpdoqnumkcoyuxywxssusyzlooesdpvgqvqtji
455449,3777,528.65,6,rhtpliqcnrypekmrkdbjkpmfdbfcnoolgikxjcp
455450,2649,69.71,2,zouexytkwfygssyqdljtnbbwb
455452,4657,50.81,2,btqergjjcdntifnzgwehclitsisycf
455455,3351,405.71,4,btebdsnzdjtuwhakwzqjnaipmgktredmrklquqrnl
455459,777,461.37,10,pqrszecmcozeeqjwoywdgqd
455463,1945,422.12,9,dzmwpjdzwduvnlvqptlglytxyuunsyzregxvhgderbb
455464,4928,427.13,8,fwolmelcxpwlbyhhiauidswnhslaohwrqzsmydpj
