77155,2866,156.94,5,bfxeqaowqbwpvuvnyhicnqzseizqootjoyihb
77158,2027,91.1,4,lsmdtozkbxyqveofmjoywjpvhlvpf
77159,3303,92.13,3,pqvelzbqeowqtrpnwmckgzjtfxzxortjgvqy
77165,4666,14.93,7,fffugynmfwkfqqvkiaxycurovwuribolxqnxhozbkxvwmo
77167,4439,109.65,7,noawpqumzxuejauwxvgp
77174,1398,127.52,1,tggftynyktvxsbepihtxonphbbvuduxygvnae
77176,4980,97.78,2,arvhfquairjoygbcymlxof
77187,1886,79.17,10,uwittkssllhhuebmlymnyifiihfjprwdajgrpyvqyhbmo
77188,2319,83.1,1,tmlilvatiewrpqnjkzvqewkymgfyd
77189,808,175.55,2,ztvodkwssqififlzlsmvgskfkvc
77194,461,21.95,1,zgfkxbyqbhrwgafaaemgrsgxopeqemjrovleozohw
77197,432,19.08,3,lnajpcajvojmphmoxyix
77199,415,186.52,2,taoziwyuzvnejlmizfognormikkowkjtjgfs
77200,426,110.98,8,cvppymyrcndwgmpiecovdpnggavenjrkicrht
77203,19,123.9,2,jyutoyyxaqmhspdzjxmohoqlpntkfm
77208,3137,106.7,9,gobrvbuqfzdbbxprvpcojtqwdksi
77214,2968,86.57,8,rmdsrlngxgmeefdqoapsfsgxfzpt
77215,2903,31.74,8,yrascaqtcuhiyupvfhxq
77218,4909,108.07,6,cyoqdcayxxglpqqesqzwtvpdelewwpbrtyqoza
77219,4384,70.28,1,ovcxyvdkfktrygbcthziclf
77226,2736,145.74,3,luzfkjdxsauezgedkozbtufbbtyzcijjkdgxxvgmojq
77227,3262,121.27,1,eceawesfomnzkinngxhsdwjxsfvirv
77228,1607,153.68,9,jqgpfxcuzoeuwiofttdmvjpqqjuek
77229,4586,74.04,10,pvorkhxtnbkrfygykftzgodscafobqwpwet
77232,35,62.78,8,adangpfynpsjuvcsdhqjrnhbvoajzikdelcejxhptw
77238,526,152.44,8,xnjvjpvfdvyxxbvywjjduhtszsxketccod
77251,195,171.16,6,lhjtrvnhqlvxsguucivnvr
77252,513,198.65,5,nukwykeqwrrdhgzmglvlsuftzjlbvoofqczvi
77266,2856,98.28,4,joamtgwrdbpyyzogvkqeznfvdsrudgehnuqlcdkq
77270,1252,63.08,9,tqmxueqqzmgfyvkhzxvmdaljjfglcdc
77287,3923,169.34,6,kvkrctuvkyathmqnhwmkjroujejn
77288,4499,95.49,1,spkdbtwhxqpfrsdmragtoaoipacfbvogwhvlqziwiacx
77294,2069,74.64,8,qqgonefvgyugtmameilwnplghxlq
77308,3247,129.17,10,wqjrgoxhnrakxxiowusqtr
77310,3480,157.7,5,lhpkpanrbebspfbcmxmqtpil
77315,2058,165.21,4,grdpnmeyqqqqtzpfezavxchxrtbjcfqr
77321,3957,44.08,7,lgyprepgcxrwiviyhuwvzyofxgg
77323,3362,52.17,7,epyrmocbcuhrybpmfazhlzatuqjcvhaqvmi
77326,3693,151.19,5,nrfydcwagkagtagnvwgdemrteg
77327,3950,64.9,5,zpiqvoeyrszfcivanxkfeelsmqbpiu
77330,4065,150.79,1,thmswxoqeiwydnrnccvjvfzqxcoeppd
77333,3427,30.64,1,xzjulnofszrrqajqggnlaobglaharijnwz
77349,2321,53.78,8,bxwasabhvosawcjlxwsemrgryltstkzyfjspacbzeuqs
77359,3370,178.8,4,wsluugyrbknfitvnwywfsmjmswzvxxbm
77360,3567,68.48,10,tlckakfccvckfyokertppcgcpoffxh
77361,3340,188.85,8,sqowftvwcsxwyuwxcxtuulz
77363,2233,12.24,8,kuukcoltdiizyofuiojzt
77369,1829,186.72,3,cfvtwmbulkdlnldfceeazfysyii
77372,4008,37.16,8,yysvvdzvuqoswvbvugyhrrshuzhgjlqrfcdzvw
77374,2716,63.31,9,qdrspnvcucxuoylgcugepwjysytfqg
77377,4437,183.18,6,tjebzomlwyxlaxanfgcngeqoibxqsfsyvoe
77383,4609,64.07,5,pbbanrxyhlblggioivpbgpqzsyxmruzckaj
77384,4956,117.68,10,gkcjwxmgirvgrbsmivjqmbvpjtwomxtbbhhsyij
77385,2887,175.85,4,dgwhkgxejejjdzpgqnwewkqpbtir
77386,2023,120.99,5,rdtesnudiibqpvlgjjwqtznjeuvqptrqrbcngenkyvkrrc
77396,4952,162.21,7,habgmkqmmyqltrvnluerxmirvtfsctbddghlvkhjoepcqbgno
77401,4042,75.78,9,iwhbqflxukerqtgakspdyywedntkmveljqlodpww
77408,4409,147.71,3,nykwomgiqhamdewbbrcqppkwhtmrx
77410,1436,172.89,6,pipifjnntxlvpxoqyvnkuhgwwenfaqydrmfbclzpuxban
77414,1005,170.88,4,eqgngawbunorfaypctzppsfuqbytbmylswpbsufhe
77418,175,110.99,5,numkyhjujppexhsccgkcj
77425,1346,89.42,10,txhwxivqbgtxtwcykthgeexhyftxqjxeaeclsrxsevjdsiwx
77427,4300,71.94,4,pzmtgrzdhdqpbferdbitcunwsb
77428,4439,30.16,10,hohbpdawkbogwrpyoisqnyzlshonk
77437,4726,89.97,8,qakuulrfdxbdbllvmfnnvcgi
77440,470,39.97,6,xwcilymcdcjetkhqfnpcqnonyoywvt
77444,2224,45.0,2,niaybyceydetsuvukrsbnxqjmebcatza
77448,211,138.02,7,pcfqhfayanaxnxekdvdmou
77459,4248,126.35,7,gyvqkbvldaekbujuzqucekhreez
77462,3594,85.23,7,cqzohcabyzhmbvufmbuhstdz
77470,337,104.68,9,rmwphuwmgaqtyrhfojmivrtcos
77475,2763,43.08,2,lbaokfuvyupiaihgylwgw
77479,4033,148.32,5,ewsmtaislqdjafuhcpgdxffurng
77490,1926,165.51,2,dctrpbzxahlvlykrkfkmpwfbgffudomlkfu
77508,746,166.76,4,uyzwmffkyqptoqugcefxkoeqavyizjreoq
77514,461,70.03,6,vacdhzfwydabtclqhthgnnfhd
77516,3817,86.62,9,rlyvtmcpiqbqhjxuzgxmezlsxfmvrbgwwzbjftwndcso
77518,2031,55.16,10,uiatwwcimpkroyhxvpgdljqtuehsyrd
77521,4086,121.98,3,gbssgtjzhbloodbrkuvfctjlrmanbh
77526,3393,57.94,4,yzskwfqwlhnejknwdvtlhjdi
77528,406,159.47,6,fmllkvvolpqylppmleozlsil
77541,3062,44.57,10,lctnifedpcfltcpalbdxzvmpn
77543,984,59.0,2,elxokxghgwtiaxuzflqojlaunezdbcgvoaz
77545,1886,156.06,6,mjyscbiyvwjzifcdhnxmeyfvmwkzmwehgtfyiwfaq
77551,3543,54.21,9,mfnpnxxujqpkrygndvyeqtlezzeomwrpbvgrgjwtnjozjvrmyw
77556,3642,65.08,9,iookqxhawtxpczlhdodjquigfkhokjhohldpuf
77561,698,16.39,6,sccnyctfdvtblxcooqkok
77564,3106,167.06,9,vxmqoeokmadmqgzxwwdazezweewlbvxqvze
77570,3956,133.81,9,mnsfraquxwdlfgppfbwddyjqjuvqmmbylnimdzrwfxx
77573,3774,95.61,3,nqvgdmejtoywhbeorcqmgoiex
77585,3530,27.75,8,qfspoxqlfujskkjcedxohs
77596,3309,164.34,3,rsxndzdjuqofyllwacjxvs
77597,2231,89.04,7,gtiwzgkagdyqbagigkjlyfiyk
77601,2640,166.88,2,wudllzorvmqpvnrrsncjtfaegulioof
77617,4552,148.5,10,hoivmcrcsxeirsinqvdrceeycdcfsmehv
77621,1326,64.43,8,pindmaqaqtxfhrovtnszng
77622,2597,137.15,8,ynxgikjteraaryrfztnzrkjjxqsjimtxnapnxuwwlh
77631,712,176.15,4,ofxblflykljmyaewpdmeybfrisdnpxhkpp
77634,685,120.11,5,jztrmeyziipgrjxxukxdirqjotgsrmyusqidqgbaskqxvfsrcj
77635,2130,108.89,7,ilgffmtlswedddutggrklditlynzppwdoaifvlerzykenz
77638,689,142.23,4,csjcmyjnfcddaqsvcxvres
77639,462,41.08,2,bfveosqjrripxjhckohpxhmmtooqsdsih
77642,4650,151.4,8,mnogjjcjcbsbrdnhpzsbyaaizlgensbkmcitrrubqf
77647,1895,170.87,9,zdiacncttrzotqxioaiajnugbtggmhdczabkmvbej
